name,iataCode,icaoCode,country,city,latitude,longitude,type
Kostroma Sokerkino Airport,KMW,UUBA,RU,Kostroma,57.796902,41.019402,medium_airport
Grabtsevo Airport,KLF,UUBC,RU,Kaluga,54.5499992371,36.3666687012,medium_airport
Ivanovo South Airport,IWA,UUBI,RU,Ivanovo,56.93939971923828,40.940799713134766,medium_airport
Staroselye Airport,RYB,UUBK,RU,Rybinsk,58.104198,38.929401,medium_airport
Bryansk Airport,BZK,UUBP,RU,Bryansk,53.214199,34.176399,medium_airport
Zhukovsky International Airport,ZIA,UUBW,RU,Moscow,55.553299,38.150002,large_airport
Domodedovo International Airport,DME,UUDD,RU,Moscow,55.408798,37.9063,large_airport
Tunoshna Airport,IAR,UUDL,RU,Tunoshna,57.560699,40.157398,small_airport
Sheremetyevo International Airport,SVO,UUEE,RU,Moscow,55.972599,37.4146,large_airport
Migalovo Air Base,KLD,UUEM,RU,Tver,56.82469940185547,35.7577018737793,medium_airport
Ostafyevo International Airport,OSF,UUMO,RU,Moscow,55.511667,37.507222,medium_airport
Chkalovskiy Air Base,CKL,UUMU,RU,Moscow,55.8783,38.061699,medium_airport
Belgorod International Airport,EGO,UUOB,RU,Belgorod,50.643798828125,36.5900993347168,medium_airport
Kursk East Airport,URS,UUOK,RU,Kursk,51.7505989074707,36.29560089111328,medium_airport
Lipetsk Airport,LPK,UUOL,RU,Lipetsk,52.70280075073242,39.53779983520508,medium_airport
Voronezh International Airport,VOZ,UUOO,RU,Voronezh,51.81420135498047,39.22959899902344,medium_airport
Donskoye Airport,TBW,UUOT,RU,Tambov,52.806099,41.4828,medium_airport
Vnukovo International Airport,VKO,UUWW,RU,Moscow,55.591499,37.261501,large_airport
Ukhta Airport,UCT,UUYH,RU,Ukhta,63.566898,53.804699,medium_airport
Inta Airport,INA,UUYI,RU,Inta,66.053372,60.105786,medium_airport
Pechora Airport,PEX,UUYP,RU,Pechora,65.121101,57.130798,medium_airport
Usinsk Airport,USK,UUYS,RU,Usinsk,66.0047,57.367199,medium_airport
Vorkuta Airport,VKT,UUYW,RU,Vorkuta,67.488602,63.993099,medium_airport
Ust-Tsylma Airport,UTS,UUYX,RU,Ust-Tsylma,65.437294,52.200336,medium_airport
Syktyvkar Airport,SCW,UUYY,RU,Syktyvkar,61.64699935913086,50.84510040283203,medium_airport
Nizhny Novgorod / Strigino International Airport,GOJ,UWGG,RU,Nizhny Novgorod,56.228254,43.785197,medium_airport
Bugulma Airport,UUA,UWKB,RU,Bugulma,54.641184,52.800229,medium_airport
Kazan International Airport,KZN,UWKD,RU,Kazan,55.606201,49.278702,large_airport
Begishevo Airport,NBC,UWKE,RU,Nizhnekamsk,55.564701,52.092499,medium_airport
Yoshkar-Ola Airport,JOK,UWKJ,RU,Yoshkar-Ola,56.7006,47.904701,medium_airport
Cheboksary Airport,CSY,UWKS,RU,Cheboksary,56.090302,47.347301,medium_airport
Ulyanovsk Baratayevka Airport,ULV,UWLL,RU,Ulyanovsk,54.268299,48.2267,medium_airport
Ulyanovsk East Airport,ULY,UWLW,RU,Cherdakly,54.401001,48.8027,medium_airport
Orenburg Central Airport,REN,UWOO,RU,Orenburg,51.79579925537109,55.45669937133789,medium_airport
Orsk Airport,OSW,UWOR,RU,Orsk,51.072498,58.5956,medium_airport
Penza Airport,PEZ,UWPP,RU,Penza,53.110599517822266,45.02109909057617,medium_airport
Saransk Airport,SKX,UWPS,RU,Saransk,54.12512969970703,45.21225738525391,medium_airport
Balakovo Airport,BWO,UWSB,RU,Balakovo,51.858299,47.745602,medium_airport
Gagarin International Airport,GSV,UWSG,RU,Saratov,51.712778,46.171111,large_airport
Beloretsk Airport,BCX,UWUB,RU,Beloretsk,53.938389,58.340113,small_airport
Oktyabrskiy Airport,OKT,UWUK,RU,Kzyl-Yar,54.439999,53.388302,small_airport
Ufa International Airport,UFA,UWUU,RU,Ufa,54.557498931885,55.874401092529,large_airport
Kurumoch International Airport,KUF,UWWW,RU,Samara,53.504902,50.164299,large_airport
Sardar Vallabh Bhai Patel International Airport,AMD,VAAH,IN,Ahmedabad,23.0772,72.634697,medium_airport
Akola Airport,AKD,VAAK,IN,Akola,20.698931,77.056883,medium_airport
Aurangabad Airport,IXU,VAAU,IN,Aurangabad,19.862699508666992,75.39810180664062,medium_airport
Chhatrapati Shivaji International Airport,BOM,VABB,IN,Mumbai,19.0886993408,72.8678970337,large_airport
Bhuj Airport,BHJ,VABJ,IN,Bhuj,23.2877998352,69.6701965332,medium_airport
Vadodara Airport,BDQ,VABO,IN,Vadodara,22.336201,73.226303,medium_airport
Raja Bhoj International Airport,BHO,VABP,IN,Bhopal,23.2875003815,77.3374023438,medium_airport
Bhavnagar Airport,BHU,VABV,IN,Bhavnagar,21.752199173,72.1852035522,medium_airport
Daman Airport,NMB,VADN,IN,Daman,20.434401,72.843201,medium_airport
Rajkot International Airport,HSR,VAHS,IN,Rajkot,22.378824,71.039391,large_airport
Devi Ahilyabai Holkar Airport,IDR,VAID,IN,Indore,22.7217998505,75.8011016846,medium_airport
Jabalpur Airport,JLR,VAJB,IN,Jabalpur,23.177799,80.052002,medium_airport
Jalgaon Airport,JLG,VAJL,IN,Jalgaon,20.962678,75.627492,small_airport
Jamnagar Airport,JGA,VAJM,IN,Jamnagar,22.465499877929688,70.01260375976562,medium_airport
Kandla Airport,IXY,VAKE,IN,Kandla,23.1127,70.100304,medium_airport
Kolhapur Airport,KLH,VAKP,IN,Kolhapur,16.6647,74.289398,medium_airport
Keshod Airport,IXK,VAKS,IN,Keshod,21.317101,70.270401,medium_airport
Murod Kond Airport,LTU,VALT,IN,Latur,18.411501,76.464699,medium_airport
Dr. Babasaheb Ambedkar International Airport,NAG,VANP,IN,Nagpur,21.092199,79.047203,medium_airport
Nashik Airport,ISK,VAOZ,IN,Nasik,20.119101,73.912903,medium_airport
Pune Airport / Lohagaon Air Force Station,PNQ,VAPO,IN,Pune,18.5821,73.919701,medium_airport
Porbandar Airport,PBD,VAPR,IN,Porbandar,21.649524,69.656405,medium_airport
Rajkot Airport,RAJ,VARK,IN,Rajkot,22.3092002869,70.77950286869999,medium_airport
Solapur Airport,SSE,VASL,IN,Solapur,17.6280002594,75.93479919430001,medium_airport
Surat Airport,STV,VASU,IN,Surat,21.1141,72.741798,medium_airport
